Overseas CNKI (integrated CNKI database via CrossAsia),,,,,,,,,
"Number of results
",sum total (journal & theses),Academic Journal,,,Theses & Dissertations,,,date,notes
Search Terms ( by Subjects),,Total,Accessible,%,Total,Accessible,%,,
民国报纸,110,101,101,100%,9,5,"55,56%",01-27,
民国资料,139,115,114,"99,13%",24,21,"87,5%",01-27,"one journal article can not be downloaded, with a sign of ""prohibit"". but available in Chinas version CNKI. See Screenshot in the folder 2021-01-27 ""no data"""
民国文献,467,444,444,100%,23,14,"60,87%",01-27,
神经网络 汉字识别,742,280,280,100%,462,13,"2,81%",01-28,
卷积神经网络 汉字识别,152,50,50,100%,102,4,"3,92%",01-28,
深度学习 汉字识别,129,30,30,100%,99,8,"8,08%",01-28,
机器学习 汉字识别,67,14,14,100%,53,1,"1,89%",01-28,
古籍 汉字识别,18,9,9,100%,9,2,"22,22%",01-28,
民国 数据库,481,303,303,100%,178,114,"64,04%",01-29,
民国文献 数据库,145,142,142,100%,3,0,0%,01-29,
民国报纸 数据库,8,8,8,100%,0,0,/,01-29,
民国 数字化,299,247,247,100%,52,32,"61,54%",01-29,
民国文献 数字化,151,145,145,100%,6,0,0%,01-29,
民国报纸 数字化,15,14,14,100%,1,0,0%,01-29,
,,,,,,,,,
,,,,,,,,,
光学字符识别,1271,1151,,,120,,,,
OCR,6209,5254,,,955,,,,
OCR 民国,5,4,,,1,,,,
OCR 古籍,32,15,,,17,,,,
,,,,,,,,,
CNN 汉字识别,59,17,,,42,,,,
卷积神经网络 汉字识别,152,50,50,100%,102,4,"3,92%",,
,,,,,,,,,
deep learning 汉字识别,44,5,,,39,,,,
深度学习 汉字识别,129,30,30,100%,99,8,"8,08%",,
