CrossAsia,,,,,,
Number of Crossasia Subscribed Databases,,,,,,
Language,Total Number (without overlap),Books & Collections,Newspaper & Magazines,Academic Journals,Dissertations & Proceedings,Others
Chinese,97,47,15,6,5,
Japanese,23,4,10,4,0,
Korean,18,3,6,6,1,
Chinese&Japanese&Korean,133,53,28,16,6,
,,,,,,
,,,,,,
Number of all Chinese databases (by institutions),,,,,,
,Total Number (without overlap),Books & Collections,Newspaper & Magazines,Academic Journals,Dissertations & Proceedings,Others
CNKI,10,2,,2,3,4
Wanfangdata,,,,1,1,
Airiti Library,,,2,2,,
National Social Science,,,,1,,
Green Apple,,,1,,,
Apabi,,,2,,,
Dacheng,,,1,,,
Shanghai Library,,,1,,,
,,,,,,
,,,,,,
Number of Republican China's Newspaper databases,,,,,,
Author,Name,Range,No. of publications,Note,,
Green Apple,申报: ^The^ Shun Pao,申报1892-1949,1,,,
Shanghai Library,晚清期刊、民国时期期刊全文数据库 : 1833-1949 Chinese Periodical Full-text Databases ,1833-1949,,,,
北京尚品大成,大成老旧刊全文数据库 : Dacheng Old Periodicals database,,,,,
北京方正阿帕比,Apabi 民国期刊 : Chinese Republican Journals,"629 journal titles
1876-1954",629,"Article titles and authors can be searched, there is no full text available. ",,
中國國家圖書館,Ta Kung Pao 大公報: 1902-1949,大公报1902-1949,1,,,
北京商易华信息技术有限公司,東方雜誌 : The Eastern Miscellany,东方杂志1904-1948,1,,,
