year,run_000,run_001,run_002,run_003,average_all,average_us,stddev_all,stddev_us
1992,1500,265,262,264,572.75,263.666666666667,618.167924866159,1.52752523165195
2000,3000,592,573,597,1190.5,587.333333333333,1206.37763573435,12.6622799421484
2010,13500,3229,2981,3336,5761.5,3182,5161.14228312557,182.107111338355
2011,16500,4075,3662,4169,7101.5,3968.66666666667,6269.53536290104,269.707866650814
2012,16600,4259,3760,4246,7216.25,4088.33333333333,6260.14219087714,284.419291422599
2013,17550,4789,4312,4754,7851.25,4618.33333333333,6469.47640204883,265.869015369097
2014,18100,5051,4500,5029,8170,4860,6624.89854010359,311.963138848166
2015,18250,5123,4570,5119,8265.5,4937.33333333333,6661.39947758727,318.126285197142
2016,18700,5045,4558,4982,8321.25,4861.66666666667,6922.54545549058,264.862857594894
2017,18200,5016,4547,4966,8182.25,4843,6681.81015269565,257.55970181688
2018,14850,4716,4371,4649,7146.5,4578.66666666667,5137.83835868744,182.938058733915
2019,15600,4343,4031,4283,7064.25,4219,5692.10525640558,165.553616692599
2020,,3636,3341,3494,,3490.33333333333,,147.534176831449
2021,,640,571,637,,616,,39
