year,run_000,average_us,find_rate_%
1992,1500,263.666666666667,17.5777777777778
2000,3000,587.333333333333,19.5777777777778
2010,13500,3182,23.5703703703704
2011,16500,3968.66666666667,24.0525252525253
2012,16600,4088.33333333333,24.6285140562249
2013,17550,4618.33333333333,26.315289648623
2014,18100,4860,26.8508287292818
2015,18250,4937.33333333333,27.0538812785388
2016,18700,4861.66666666667,25.9982174688057
2017,18200,4843,26.6098901098901
2018,14850,4578.66666666667,30.8327721661055
2019,15600,4219,27.0448717948718
2020,,3490.33333333333,
2021,,616,
,,,
,,Average_rate,25.0093930358994
,,,  
,,,
,,,
,,,
,,  ,
