Your Institution,Country,Oversea ed. y/n,Interface chi/eng,CNKI Provider ,1992,2000,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,uploaded screenshot (file name),Your Name (optional),Your comments (optional),,
南京体育学院,China,No,chi,Direct China Non-overseas CN (2019),1500,3000,13500,16500,16600,17550,18100,18250,18700,18200,14850,15600,,,,"李明华, 方丛蕙",DOI:10.19393/j.cnki.cn11-1537/g2.2019.04.031, 检索日期: 2019-01-25, approximate numbers (measured from published chart)
Uni Heidelberg,Germany,Yes,eng,CrossAsia Overseas EN (2021),265,592,3229,4075,4259,4789,5051,5123,5045,5016,4716,4343,3636,640,2021-05-20_17-45-39.png,Matthias Arnold,民国,,
Uni Heidelberg,Germany,Yes,chi,CrossAsia Overseas CN (2021),262,573,2981,3662,3760,4312,4500,4570,4558,4547,4371,4031,3341,571,2021-05-20_17-54-04.png,Matthias Arnold,民国,,
Uni Heidelberg,Germany,No,chi,Direct Germany Non-overseas CN (2021),264,597,3336,4169,4246,4754,5029,5119,4982,4966,4649,4283,3494,637,2021-05-20_17-56-51.png,Matthias Arnold,民国,,
University of Pennsylvania,USA,Yes,eng,,,,,,,,,2428,,,,,,,,,"民国, results same for jianti, fanti and English interfaces, 2021-05-22",,
University of Pennsylvania,USA,Yes,eng,,,,,,,,,1633,,,,,,,,,"民國, results same for jianti, fanti and English interfaces, 2021-05-22",,
University of Pennsylvania,USA,Yes,eng,,,,,,,,,1630,,,,,,,,,"search within ""title"",  民国 and 民國, 2021-05-22",,
University of Pennsylvania,USA,Yes,eng,,,,,,,,,2418,,,,,,,,,"Literature""/文獻; 2015 peak of 2418 for 民國 (jianti, fanti and English interface)",,
University of Pennsylvania,USA,Yes,eng,,,,,,,,,,4221,,,,,,,,"Literature""/文獻; 2016 peak of 4221 for 民国 (jianti fanti and english interfaces)",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
calculations,,,,,,,,,,,,,,,,,,,,,,,
,,,,CrossAsia (2021-05-20),17.67,19.73,23.92,24.7,25.66,27.29,27.91,28.07,26.98,27.56,31.76,27.84,,,,,,,
,,,,CrossAsia (2021-05-20),17.47,19.1,22.08,22.19,22.65,24.57,24.86,25.04,24.37,24.98,29.43,25.84,,,,,,,
,,,,Direct Germany (2021-05-20),17.6,19.9,24.71,25.27,25.58,27.09,27.78,28.05,26.64,27.29,31.31,27.46,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,standard deviation,1.53,12.66,182.11,269.71,284.42,265.87,311.96,318.13,264.86,257.56,182.94,165.55,,,,,,,
,,,,variance,2.33,160.33,33163,72742.33,80894.33,70686.33,97321,101204.33,70152.33,66337,33466.33,27408,,,,,,,
,,,,average,263.67,587.33,3182,3968.67,4088.33,4618.33,4860,4937.33,4861.67,4843,4578.67,4219,,,,,,,
,,,,diff,1236.33,2412.67,10318,12531.33,12511.67,12931.67,13240,13312.67,13838.33,13357,10271.33,11381,,,,,,,
,,,,,82.42,80.42,76.43,75.95,75.37,73.68,73.15,72.95,74,73.39,69.17,72.96,,,,,,,
,,,,%,17.58,19.58,23.57,24.05,24.63,26.32,26.85,27.05,26,26.61,30.83,27.04,,,,,,,
