Name of Crossasia Subscribed Databases,,,,,,,,
Chinese,Books & Collections ch,Books & Collections py/en,Newspaper & Magazines ch,Newspaper & Magazines py/en,Academic Journals,,Dissertations & Proceedings,
,明清实录,MingQing shilu,東方雜誌 (商务印书馆 民国期刊总辑全文数据库),The Eastern Miscellany ,中国期刊全文数据库,CNKI: China academic journals ,中国重要会议论文全文数据库,China Proceedings of Conference Full-text Database (CNKI)
,中国谱牒库,Database of Chinese genealogy,中国报纸资源全文数据库,Apabi China newspapers full-text database,台灣電子期刊 ,Airiti Library: Taiwan Electronic Periodical Services,中国优秀硕士学位论文全文数据库,China Masters' Theses Full-text Database (CNKI)
,国学宝典,Guoxue baodian,申报,^The^ Shun Pao (Green Apple),,Wanfangdata: China online journals,中国博士学位论文全文数据库,China Doctoral Dissertations Full-text Database (CNKI)
,中国文史资料集粹,,大成老旧刊全文数据库,Dacheng Old Periodicals database,,CNKI: China Monographic Series Full-text Database (CMSD),,Wanfangdata: Dissertations of China
,十通,,Apabi 民国期刊,Chinese Republican Journals,国家哲学社会科学学术期刊数据库 ,National Social Science Database,中文電子學位論文服務 (CETD),Chinese Electronic Theses and Dissertations Service
,四部丛刊 2009增补版,The Sibu Congkan 2009 Extended Edition,人民日报,People's daily (Green Apple),故宮期刊,National Palace Museum Periodicals (Airiti library),,
,宋會要輯稿,,晚清期刊、民国时期期刊全文数据库,1833-1949 Chinese Periodical Full-text Databases (Shanghai Library),,,,
,Chinamaxx EBook library,,WiseSearch,慧科資訊,,,,
,中国历代石刻史料汇编,,聯合知識庫,United Daily News Group knowledge base,,,,
,中國基本古籍庫,Database of Chinese classic ancient books,,Library PressDisplay,,,,
,四部丛刊,,臺灣日日新報,Taiwan Nichinichi Sinpou ,,,,
,漢達文庫,Chinese ancient texts,人民日报 (1946- Present),People's Daily - Renmin Ribao (1946 - Present),,,,
,漢籍全文資料庫,Scripta Sinica,光明日报图文电子版 (1949-2017),Guangming Daily,,,,
,中国知网,CNKI Knowledge Resource Integrated Database,大公報 1902-1949,Ta Kung Pao 1902-1949,,,,
,全宋詩分析系統,Analytical System for the Complete Song Poetry,故宮期刊,National Palace Museum Periodicals (Airiti library),,,,
,全唐詩分析系統,Analytical System for the Complete Tang Poetry,,,,,,
,Apabi 中医古籍库,Ancient Books of Traditional Chinese Medicine,,,,,,
,Apabi 中华数字书苑,Apabi eBooks collection,,,,,,
,中國邊疆史地研究資料數據庫,China's Borderland History and Geography Studies Database,,,,,,
,天一阁藏书,Imperial examination records from the Tianyige Museum,,,,,,
,大学数字图书馆国际合作计划,CADAL (China Academic Digital Associative Library),,,,,,
,,China Monographic Series Full-text Database (CMSD),,,,,,
,中國方志庫,Database of Chinese Local Records,,,,,,
,中國類書庫,,,,,,,
,读秀中文学术搜索,,,,,,,
,華藝中文電子書,airitiBooks,,,,,,
,皮书数据库,,,,,,,
,清實錄-大清歷朝實錄,Qing Veritable Records,,,,,,
,清会典-大清五部會典,Qing Collected Statutes,,,,,,
,續修四庫全書-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,道藏辑要-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,清代史料-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,Zhonghua Ancient Books Database 中华经典古籍库,,,,,,,
,四庫全書-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,中国学术典藏图书库,Digital Collection on China Studies,,,,,,
,正統道藏-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,四部叢刊-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,續四部叢刊-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,永樂大典-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,敦煌史料-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,中國地方誌一集-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,中國地方誌續集-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,日本古典書籍-雕龍--中國日本古籍全文檢索資料庫,Classical Works of Japan,,,,,,
,六府文藏-雕龍--中國日本古籍全文檢索資料庫,,,,,,,
,中華再造善本,China Rare Book Reprinted Collection,,,,,,
,民國圖書數據庫,"Early Twentieth Century Book in China, 1912-1949",,,,,,
,大清光绪朝新法令,,,,,,,
